id,voc_type_cd,voc_type_nm,voc_cnt,day_cnt
E1000310,12,업무협조,1,1
E1000311,6,청구 수/미납,1,1
E1000312,12,업무협조,1,1
E1000313,12,업무협조,1,1
E1000314,6,청구 수/미납,1,1
E1000315,6,청구 수/미납,1,1
E1000316,6,청구 수/미납,1,1
E1000317,5,변경/조회,1,1
E1000318,3,채널,1,1
E1000318,5,변경/조회,1,1
E1000319,6,청구 수/미납,1,1
E1000320,1,가입,1,1
E1000320,4,이용,1,1
E1000320,12,업무협조,1,1
E1000321,1,가입,1,1
E1000322,1,가입,1,1
E1000323,12,업무협조,2,1
E1000324,8,품질,1,1
E1000324,9,해지,1,1
E1000325,12,업무협조,1,1
E1000326,6,청구 수/미납,1,1
E1000327,5,변경/조회,1,1
E1000328,12,업무협조,1,1
E1000329,12,업무협조,1,1
E1000330,9,해지,1,1
E1000331,9,해지,4,2
E1000332,1,가입,1,1
E1000332,6,청구 수/미납,1,1
E1000332,12,업무협조,4,4
E1000333,5,변경/조회,2,1
E1000333,12,업무협조,1,1
E1000334,4,이용,1,1
E1000335,6,청구 수/미납,2,2
E1000336,5,변경/조회,1,1
E1000336,12,업무협조,1,1
E1000337,6,청구 수/미납,1,1
E1000338,9,해지,1,1
E1000338,12,업무협조,1,1
E1000339,9,해지,1,1
E1000340,5,변경/조회,1,1
E1000341,5,변경/조회,1,1
E1000342,8,품질,1,1
E1000343,6,청구 수/미납,1,1
E1000344,12,업무협조,1,1
E1000345,12,업무협조,2,1
E1000346,1,가입,1,1
E1000347,9,해지,1,1
E1000348,10,혜택,1,1
E1000349,1,가입,1,1
E1000349,5,변경/조회,1,1
E1000349,12,업무협조,1,1
E1000350,6,청구 수/미납,1,1
E1000351,6,청구 수/미납,1,1
E1000352,5,변경/조회,1,1
E1000352,12,업무협조,2,1
E1000353,7,AS,2,1
E1000353,8,품질,1,1
E1000354,5,변경/조회,1,1
E1000354,6,청구 수/미납,1,1
E1000354,12,업무협조,2,1
E1000355,3,채널,2,2
E1000355,4,이용,2,1
E1000355,6,청구 수/미납,1,1
E1000355,10,혜택,2,2
E1000355,12,업무협조,3,2
E1000356,6,청구 수/미납,1,1
E1000357,3,채널,2,1
E1000357,5,변경/조회,1,1
E1000357,6,청구 수/미납,2,2
E1000358,1,가입,1,1
E1000358,6,청구 수/미납,1,1
E1000359,5,변경/조회,1,1
E1000360,6,청구 수/미납,1,1
E1000360,12,업무협조,1,1
E1000361,8,품질,1,1
E1000362,1,가입,1,1
E1000363,9,해지,1,1
E1000364,5,변경/조회,1,1
E1000364,7,AS,1,1
E1000365,6,청구 수/미납,1,1
E1000366,9,해지,1,1
E1000367,4,이용,1,1
E1000368,9,해지,1,1
E1000369,6,청구 수/미납,1,1
E1000369,9,해지,3,1
E1000370,5,변경/조회,1,1
E1000371,6,청구 수/미납,1,1
E1000371,9,해지,1,1
E1000372,4,이용,1,1
E1000373,5,변경/조회,1,1
E1000373,6,청구 수/미납,1,1
E1000374,12,업무협조,1,1
E1000375,9,해지,1,1
E1000376,1,가입,1,1
E1000377,5,변경/조회,1,1
E1000378,7,AS,1,1
E1000378,9,해지,1,1
E1000379,6,청구 수/미납,1,1
E1000379,12,업무협조,1,1
E1000380,9,해지,1,1
E1000380,12,업무협조,1,1
E1000381,9,해지,1,1
E1000382,7,AS,1,1
E1000382,8,품질,1,1
E1000382,12,업무협조,1,1
E1000383,9,해지,3,3
E1000384,9,해지,1,1
E1000385,1,가입,1,1
E1000385,5,변경/조회,1,1
E1000386,5,변경/조회,1,1
E1000387,1,가입,1,1
E1000387,3,채널,1,1
E1000387,5,변경/조회,1,1
E1000387,8,품질,1,1
E1000387,12,업무협조,3,2
E1000388,6,청구 수/미납,1,1
E1000389,5,변경/조회,1,1
E1000390,9,해지,1,1
E1000391,6,청구 수/미납,5,2
E1000391,12,업무협조,1,1
E1000392,6,청구 수/미납,1,1
E1000393,9,해지,1,1
E1000394,5,변경/조회,1,1
E1000395,5,변경/조회,1,1
E1000396,1,가입,1,1
E1000397,5,변경/조회,1,1
E1000398,9,해지,1,1
E1000399,10,혜택,1,1
E1000400,1,가입,1,1
E1000400,12,업무협조,2,1
E1000401,1,가입,1,1
E1000402,6,청구 수/미납,1,1
E1000403,5,변경/조회,1,1
E1000404,1,가입,1,1
E1000405,12,업무협조,3,2
E1000406,5,변경/조회,1,1
E1000407,4,이용,1,1
E1000408,5,변경/조회,1,1
E1000409,10,혜택,1,1
E1000409,12,업무협조,1,1
E1000410,5,변경/조회,1,1
E1000411,6,청구 수/미납,1,1
E1000412,6,청구 수/미납,1,1
E1000413,9,해지,1,1
E1000414,9,해지,1,1
E1000415,8,품질,1,1
E1000416,5,변경/조회,1,1
E1000416,12,업무협조,1,1
E1000417,9,해지,1,1
E1000418,8,품질,1,1
E1000418,12,업무협조,1,1
E1000419,10,혜택,1,1
E1000420,12,업무협조,1,1
E1000421,11,정보보호/언론보도,1,1
E1000422,5,변경/조회,1,1
E1000422,6,청구 수/미납,1,1
E1000422,9,해지,1,1
E1000422,12,업무협조,1,1
E1000423,9,해지,1,1
E1000424,5,변경/조회,2,1
E1000425,5,변경/조회,1,1
E1000426,7,AS,1,1
E1000426,8,품질,1,1
E1000427,12,업무협조,1,1
E1000428,9,해지,1,1
E1000428,12,업무협조,2,1
E1000429,12,업무협조,1,1
E1000430,7,AS,1,1
E1000430,8,품질,1,1
E1000431,4,이용,1,1
E1000431,8,품질,1,1
E1000431,12,업무협조,1,1
E1000432,9,해지,1,1
E1000433,12,업무협조,3,1
E1000434,12,업무협조,1,1
E1000435,6,청구 수/미납,1,1
E1000436,4,이용,1,1
E1000437,8,품질,1,1
E1000438,3,채널,1,1
E1000439,1,가입,1,1
E1000439,3,채널,3,1
E1000439,4,이용,1,1
E1000440,8,품질,1,1
E1000441,5,변경/조회,1,1
E1000441,12,업무협조,1,1
E1000442,8,품질,1,1
E1000443,4,이용,1,1
E1000444,4,이용,1,1
E1000444,10,혜택,1,1
E1000444,12,업무협조,2,1
E1000445,5,변경/조회,1,1
E1000445,12,업무협조,2,1
E1000446,9,해지,2,2
E1000446,12,업무협조,1,1
E1000447,4,이용,1,1
E1000448,1,가입,1,1
E1000449,9,해지,1,1
E1000450,5,변경/조회,1,1
E1000451,10,혜택,1,1
E1000452,12,업무협조,2,1
E1000453,6,청구 수/미납,1,1
E1000454,2,개통,1,1
E1000454,9,해지,1,1
E1000454,12,업무협조,1,1
E1000455,6,청구 수/미납,1,1
E1000456,12,업무협조,2,1
E1000457,12,업무협조,1,1
E1000458,9,해지,1,1
E1000459,4,이용,1,1
E1000460,3,채널,1,1
E1000460,9,해지,1,1
E1000460,12,업무협조,1,1
E1000461,6,청구 수/미납,1,1
E1000461,12,업무협조,3,2
E1000462,8,품질,1,1
E1000463,1,가입,1,1
E1000464,1,가입,1,1
E1000465,4,이용,2,2
E1000465,12,업무협조,2,2
E1000466,9,해지,1,1
E1000467,3,채널,1,1
E1000467,6,청구 수/미납,1,1
E1000468,6,청구 수/미납,1,1
E1000469,8,품질,1,1
E1000470,9,해지,1,1
E1000471,1,가입,1,1
E1000472,12,업무협조,1,1
E1000473,6,청구 수/미납,1,1
E1000474,5,변경/조회,1,1
E1000475,1,가입,1,1
E1000476,1,가입,1,1
E1000477,6,청구 수/미납,1,1
E1000477,9,해지,1,1
E1000478,3,채널,1,1
E1000479,8,품질,1,1
E1000480,4,이용,1,1
E1000481,12,업무협조,1,1
E1000482,11,정보보호/언론보도,1,1
E1000483,5,변경/조회,1,1
E1000484,1,가입,1,1
E1000484,4,이용,1,1
E1000484,9,해지,1,1
E1000485,2,개통,1,1
E1000486,5,변경/조회,1,1
E1000487,11,정보보호/언론보도,1,1
E1000488,5,변경/조회,1,1
E1000489,8,품질,1,1
E1000490,7,AS,1,1
E1000490,9,해지,1,1
E1000491,1,가입,1,1
E1000492,6,청구 수/미납,1,1
E1000493,4,이용,1,1
E1000493,5,변경/조회,1,1
E1000494,1,가입,1,1
E1000494,8,품질,1,1
E1000495,5,변경/조회,1,1
E1000496,9,해지,1,1
E1000497,9,해지,1,1
E1000498,6,청구 수/미납,1,1
E1000498,12,업무협조,1,1
E1000499,12,업무협조,1,1
E1000500,5,변경/조회,1,1
E1000501,8,품질,1,1
E1000501,12,업무협조,2,1
E1000502,9,해지,1,1
E1000503,11,정보보호/언론보도,1,1
E1000504,12,업무협조,1,1
E1000505,5,변경/조회,1,1
E1000506,5,변경/조회,1,1
E1000506,12,업무협조,3,2
E1000507,4,이용,1,1
E1000508,6,청구 수/미납,1,1
E1000509,8,품질,1,1
E1000510,9,해지,2,1
E1000510,12,업무협조,1,1
E1000511,4,이용,1,1
E1000512,3,채널,1,1
E1000512,9,해지,5,2
E1000512,12,업무협조,1,1
E1000513,6,청구 수/미납,1,1
E1000514,7,AS,2,2
E1000514,8,품질,2,2
E1000515,7,AS,1,1
E1000516,6,청구 수/미납,1,1
E1000516,9,해지,1,1
E1000516,12,업무협조,1,1
E1000517,1,가입,1,1
E1000517,10,혜택,1,1
E1000517,12,업무협조,2,1
E1000518,5,변경/조회,1,1
E1000519,12,업무협조,1,1
E1000520,1,가입,1,1
E1000520,7,AS,1,1
E1000520,8,품질,1,1
E1000520,12,업무협조,1,1
E1000521,3,채널,1,1
E1000521,9,해지,2,2
E1000521,12,업무협조,1,1
E1000522,6,청구 수/미납,1,1
E1000523,1,가입,1,1
E1000523,3,채널,1,1
E1000523,6,청구 수/미납,1,1
E1000523,12,업무협조,1,1
E1000524,5,변경/조회,1,1
E1000525,9,해지,1,1
E1000526,1,가입,1,1
E1000527,1,가입,1,1
E1000528,5,변경/조회,1,1
E1000529,9,해지,1,1
E1000530,6,청구 수/미납,1,1
E1000531,1,가입,1,1
E1000531,12,업무협조,1,1
E1000532,2,개통,1,1
E1000532,8,품질,1,1
E1000533,6,청구 수/미납,1,1
E1000534,9,해지,1,1
E1000534,12,업무협조,2,1
E1000535,3,채널,1,1
E1000536,9,해지,1,1
E1000537,1,가입,1,1
E1000538,9,해지,1,1
E1000539,12,업무협조,1,1
E1000540,1,가입,1,1
E1000541,5,변경/조회,1,1
E1000542,5,변경/조회,1,1
E1000543,2,개통,1,1
E1000544,4,이용,2,2
E1000544,12,업무협조,1,1
E1000545,12,업무협조,1,1
E1000546,4,이용,3,1
E1000546,6,청구 수/미납,2,1
E1000546,12,업무협조,2,1
E1000547,5,변경/조회,1,1
E1000548,5,변경/조회,2,2
E1000549,4,이용,1,1
E1000550,6,청구 수/미납,1,1
E1000551,1,가입,1,1
E1000552,8,품질,1,1
E1000553,1,가입,1,1
E1000554,9,해지,1,1
E1000555,6,청구 수/미납,1,1
E1000556,1,가입,1,1
E1000556,12,업무협조,3,2
E1000557,12,업무협조,2,1
E1000558,8,품질,1,1
E1000558,12,업무협조,1,1
E1000559,6,청구 수/미납,1,1
E1000559,9,해지,1,1
E1000560,3,채널,1,1
E1000561,12,업무협조,1,1
E1000562,3,채널,2,2
E1000562,4,이용,5,4
E1000562,5,변경/조회,2,2
E1000562,6,청구 수/미납,1,1
E1000562,8,품질,1,1
E1000563,6,청구 수/미납,1,1
E1000564,9,해지,1,1
E1000565,9,해지,1,1
E1000566,6,청구 수/미납,2,2
E1000567,6,청구 수/미납,1,1
E1000568,5,변경/조회,1,1
E1000569,4,이용,1,1
E1000569,12,업무협조,1,1
E1000570,9,해지,1,1
E1000571,9,해지,1,1
E1000572,8,품질,2,1
E1000572,12,업무협조,2,1
E1000573,6,청구 수/미납,1,1
E1000574,9,해지,2,2
E1000575,3,채널,2,2
E1000575,5,변경/조회,1,1
E1000575,9,해지,2,2
E1000576,6,청구 수/미납,2,2
E1000576,12,업무협조,1,1
E1000577,3,채널,1,1
E1000577,7,AS,1,1
E1000577,9,해지,2,1
E1000578,6,청구 수/미납,1,1
E1000579,5,변경/조회,1,1
E1000579,9,해지,1,1
E1000580,1,가입,1,1
E1000580,12,업무협조,1,1
E1000581,8,품질,1,1
E1000582,4,이용,1,1
E1000583,12,업무협조,1,1
E1000584,7,AS,1,1
E1000585,9,해지,3,2
E1000586,9,해지,1,1
E1000587,5,변경/조회,1,1
E1000588,6,청구 수/미납,1,1
E1000589,9,해지,2,2
E1000590,4,이용,1,1
E1000590,12,업무협조,1,1
E1000591,12,업무협조,1,1
E1000592,9,해지,1,1
E1000593,4,이용,1,1
E1000594,12,업무협조,1,1
E1000595,10,혜택,1,1
E1000596,4,이용,1,1
E1000597,12,업무협조,1,1
E1000598,5,변경/조회,1,1
E1000599,1,가입,1,1
E1000600,8,품질,2,2
E1000601,8,품질,1,1
E1000602,6,청구 수/미납,1,1
E1000602,12,업무협조,1,1
E1000603,1,가입,1,1
E1000603,4,이용,1,1
E1000603,6,청구 수/미납,1,1
E1000604,7,AS,1,1
E1000604,8,품질,1,1
E1000605,9,해지,1,1
E1000606,5,변경/조회,2,1
E1000607,9,해지,1,1
E1000608,12,업무협조,1,1
E1000609,3,채널,1,1
E1000609,9,해지,3,3
E1000610,6,청구 수/미납,1,1
E1000611,5,변경/조회,1,1
E1000612,9,해지,1,1
E1000613,3,채널,1,1
E1000614,12,업무협조,6,4
E1000615,5,변경/조회,1,1
E1000616,4,이용,3,2
E1000616,12,업무협조,1,1
E1000617,7,AS,1,1
E1000617,8,품질,1,1
E1000618,1,가입,1,1
E1000618,12,업무협조,1,1
E1000619,1,가입,1,1
E1000620,9,해지,3,2
E1000620,12,업무협조,1,1
E1000621,6,청구 수/미납,2,1
E1000621,12,업무협조,1,1
E1000622,5,변경/조회,1,1
E1000623,9,해지,1,1
E1000624,11,정보보호/언론보도,1,1
E1000624,12,업무협조,1,1
E1000625,6,청구 수/미납,1,1
E1000626,1,가입,1,1
E1000627,9,해지,1,1
E1000628,5,변경/조회,2,1
E1000628,9,해지,2,1
E1000629,2,개통,1,1
E1000629,5,변경/조회,1,1
E1000629,6,청구 수/미납,1,1
E1000630,4,이용,1,1
E1000631,9,해지,1,1
E1000632,5,변경/조회,1,1
E1000633,3,채널,1,1
E1000634,4,이용,1,1
E1000634,12,업무협조,1,1
E1000635,5,변경/조회,1,1
E1000635,9,해지,2,2
E1000636,12,업무협조,1,1
E1000637,3,채널,1,1
E1000637,6,청구 수/미납,1,1
E1000637,9,해지,3,3
E1000638,3,채널,1,1
E1000639,6,청구 수/미납,2,2
E1000640,10,혜택,1,1
E1000641,4,이용,2,2
E1000642,8,품질,1,1
E1000642,9,해지,1,1
E1000643,1,가입,1,1
E1000644,3,채널,1,1
E1000644,5,변경/조회,3,2
E1000644,9,해지,2,1
E1000645,1,가입,1,1
E1000645,12,업무협조,1,1
E1000646,9,해지,1,1
E1000647,4,이용,1,1
E1000648,12,업무협조,1,1
E1000649,3,채널,2,1
E1000650,4,이용,1,1
E1000651,10,혜택,1,1
E1000652,9,해지,2,1
E1000653,1,가입,1,1
E1000654,1,가입,1,1
E1000655,8,품질,1,1
E1000655,12,업무협조,1,1
E1000656,1,가입,1,1
E1000657,6,청구 수/미납,1,1
E1000657,12,업무협조,1,1
E1000658,6,청구 수/미납,3,1
E1000659,5,변경/조회,1,1
E1000660,1,가입,2,2
